Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2014-00862,OIP,1/2/14,"Various records including organizational, mission and functions manual, staff manual, publication list, and policy statement regarding civil rights of state prisoners","Full Grant of DOJ Organization, Mission, and Functions Manual and DOJ FOIA Reference Guide; Provided additional information and assistance",,
FOIA-2014-00389,OIP,1/3/14,Log of all FOIA requests made to the Office of the Attorney General for the month of September 2013,Full Grant,,
FOIA-2014-00861,OIP,1/3/14,Records regarding the court case of a third party,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-00887,OIP,1/3/14,"""All documents of law or fact created for, or by, subject""","Provided requester with information on how to make a FOIA request, as specific records being sought could not be identified",,
FOIA-2014-00960,OIP,1/3/14,All records pertaining to the case United States v. Jeffrey Best,Referred requester and/or request to more appropriate entity (EOUSA); Provided additional information and assistance,,
FOIA-2013-03541,OASG,1/6/14,"Records pertaining to (1) requester, (2) recommendations on the granting of permanent residence to certain undocumented individuals in the interest of national security, and statistics regarding that process from 2009 to the present, and (3) procedures",No Records; Referred requester and/or request to more appropriate entity (DHS/ICE),,
FOIA-2014-00584,OAG,1/6/14,"Records maintained within the electronic database of the Departmental Executive Secretariat containing the search terms ""NSA leaks"" or ""NSA leak""",No Records,,
FOIA-2014-00677,ODAG,1/6/14,"Records maintained within the electronic database of the Departmental Executive Secretariat containing the search terms ""NSA leaks"" or ""NSA leak""",No Records,,
FOIA-2014-00678,OASG,1/6/14,"Records maintained within the electronic database of the Departmental Executive Secretariat containing the search terms ""NSA leaks"" or ""NSA leak""",No Records,,
FOIA-2014-01016,OIP,1/6/14,Records pertaining to Charles Lee Roberts,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-01020,OIP,1/6/14,Statistical information regarding race and criminal categories for males in the Federal Bureau of Prisons ,Referred requester and/or request to more appropriate entity (OJP),,
FOIA-2013-01746,ODAG,1/7/14,Records pertaining to Majid Khan,Partial Grant/Partial Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
