Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2011-01211,OLA,6/13/14,Documents pertaining to Operation Fast and Furious that have been provided to Congress,Partial Grant/Partial Denial; Other records were located and referred to more appropriate entity (ATF),(b)(6); (b)(7)(C),"Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2012-00090,OLA,6/3/14,"Inter-agency correspondence concerning comments and testimony about the draft Holocaust Insurance Accountability Acts of 2007, 2010, 2011",Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
FOIA-2012-00118,OAG,6/23/14,Documents reflecting communications between the Justice Department and the Foreign Intelligence Surveillance Court,Referred records determined to be not responsive to the request after review by OIP,,
FOIA-2012-00120,OLA,6/23/14,Documents reflecting communications between the Justice Department and the Foreign Intelligence Surveillance Court,Referred records determined to be not responsive to the request after review by OIP,,
FOIA-2013-04315,ODAG,6/18/14,"Communications received by the Department of Justice's Office of Attorney General, Office of Deputy Attorney General and Office of the Associate Attorney General sent from Senator Lamar Alexander or Senator Bob Corker or their staff members since January 1, 2011",No Records,,
FOIA-2013-04316,OASG,6/18/14,"Communications received by the Department of Justice's Office of Attorney General, Office of Deputy Attorney General and Office of the Associate Attorney General sent from Senator Lamar Alexander or Senator Bob Corker or their staff members since January 1, 2011",No Records,,
FOIA-2014-00680,OASG,6/19/14,"Records from the electronic database of the Departmental Executive Secretariat containing the terms ""FISA Court"" ""FISC,"" ""Foreign Intelligence Surveillance Court,"" or ""FISA""",Full Denial,(b)(5); (b)(6),Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2014-01995,ODAG,6/11/14,Records pertaining to complaints made against immigration judges,Partial Grant/Partial Denial,(b)(6); (b)(7)(C),"Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2014-02241,OAG,6/4/14,"Copies of ""all DOJ policies showing general oversight responsibilities for DOJ Agency components, particularly auditing thereof""",Referred requester and/or request to more appropriate entity (OIG & JMD),,
FOIA-2014-02242,ODAG,6/4/14,"Copies of ""all DOJ policies showing general oversight responsibilities for DOJ Agency components, particularly auditing thereof""",Referred requester and/or request to more appropriate entity (OIG & JMD),,
FOIA-2014-02243,OASG,6/4/14,"Copies of ""all DOJ policies showing general oversight responsibilities for DOJ Agency components, particularly auditing thereof""",Referred requester and/or request to more appropriate entity (OIG & JMD),,
FOIA-2014-02769,OIP,6/6/14,Certain information pertaining to requester's previous administrative appeal submitted to OIP,Full Grant,,
FOIA-2014-02802,OIP,6/6/14,Information regarding previous requests made by requester,No records; Provided other relevant information and assistance,,
FOIA-2014-02814,OIP,6/2/14,Copy of A Citizen’s Guide on Using the Freedom of Information Act and Privacy Act of 1974 to Request Government Records,Full Grant; Provided other relevant information and assistance,,
FOIA-2014-02849,OIP,6/2/14,An updated copy of the Freedom of lnformation Act contact list for all departments within the federal government and any additional information that may be of use when submitting a FOIA request,Full Grant; Provided other relevant information and assistance,,
FOIA-2014-02866,OLP,6/18/14,"Appointment Affidavits, Oath of Office and Senate Confirmation document pertaining to United States District Judge James Edgar Kinkeade",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2014-02945,OIP,6/4/14,Information pertaining to requester's residency status,Referred requester and/or request to more appropriate entity (EOIR),,
FOIA-2014-02952,OIP,6/13/14,A listing of all e-mail addresses collected from federal agencies by the Department of Justice that have been designated for receipt of Freedom of Information Act (FOIA) requests,Referred requester to www.foia.gov for a complete listing of agencies' FOIA e-mail addresses,,
FOIA-2014-02953,OLP,6/4/14,"Appointment Affidavits, Oath of Office, and Senate Confirmation document pertaining to United States District Judge J. Randal Hall",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
