Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2014-01517,OIP,3/4/14,Certain records pertaining to a federal court case,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-01529,OIP,3/4/14,"Contact information for ""any and all FOIA officers for the State of New York""",Provided relevant information and assistance,,
FOIA-2014-01587,OIP,3/4/14,Information regarding espionage agents,Provided copy of DOJ FOIA Reference Guide; Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-01621,OIP,3/4/14,Information related to a FOIA request previously submitted to the Department of Justice (FBI),Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-01667,OIP,3/4/14,Seeking assistance from the Federal Bureau of Investigation (FBI) and the Office of Personnel Management (OPM) regarding a  National Name Check Program (NCCP) ,Referred requester and/or request to more appropriate entity (FBI & OPM),,
FOIA-2014-01776,OIP,3/4/14,"Copy of ""National Standards to Prevent, Detect and Respond to Prison Rape,"" 77 Fed. Reg. 37105 (June 20, 2012)",Referred requester and/or request to more appropriate entity (OJP),,
FOIA-2013-03450,OLA,3/5/14,"Letters from Congressman Roscoe G. Bartlett, born June 3, 1926, from the period 2010-2012.",Request Withdrawn,,
FOIA-2014-01404,OIP,3/5/14,Records pertaining to OIP Appeal No. AP-2014-00489,Full Grant/Partial Referral:  Records referred to the FBI for further review,,
FOIA-2014-01492,OIP,3/5/14,Certain formal or informal opinions or advice prepared by the Office of Legal Counsel,Referred requester and/or request to more appropriate entity (OLC),,
FOIA-2014-01493,OIP,3/5/14,Certain formal or informal opinions or advice prepared by the Office of Legal Counsel,Referred requester and/or request to more appropriate entity (OLC),,
FOIA-2014-01494,OIP,3/5/14,Certain formal and informal opinions or advice prepared by the Office of Legal Counsel,Referred requester and/or request to more appropriate entity (OLC),,
FOIA-2014-01540,OIP,3/5/14,Records pertaining to contracts to house federal detainees at state facilities,Referred requester and/or request to more appropriate entity (BOP & DHS),,
