Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2015-01223,OIP,2/2/15,"Records pertaining to the application process entitled ""Program Specialist (Medical Claims) 0301-14-JP-139""",Provided relevant information and assistance,,
FOIA-2015-01261,OIP,2/2/15,"Records pertaining to an airplane accident in Neihart, Montana on September 2, 2014",Provided relevant information and assistance,,
FOIA-2015-01362,OIP,2/2/15,A Department of Justice (DOJ) staff directory and a list of all DOJ FOIA contacts,Full Grant; Provided other relevant information and assistance,,
FOIA-2015-01367,OAG,2/2/15,Copy of the official Oath of Office for Attorney General Eric Holder,Full Grant,,
FOIA-2015-01527,OLA,2/2/15,Views Letters sent to Congress by the Department of Justice during the 112th Congress,Full Grant,,
FOIA-2015-01701,OIP,2/2/15,Copies of Criminal Division FOIA logs for the Fiscal Years 2013 and 2014,Referred requester and/or request to more appropriate entity (CRM),,
FOIA-2014-04464,OLP,2/3/15,Various appointment documents pertaining to United States District Court judges for the District of Nevada,Partial Grant/Partial Denial; Referred requester and/or request to more appropriate entity (AOUSC),(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2015-01372,ODAG,2/3/15,"Copy of the October 14, 2014 memorandum from Deputy Attorney General James Cole entitled ""Department Policy on Waivers of Claims of Ineffective Assistance of Counsel""",Full Grant,,
FOIA-2015-01409,OIP,2/3/15,Records pertaining to a third-party,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2015-01644,OAG,2/3/15,"Correspondence between Offices of the Attorney General, Deputy Attorney General, and Associate Attorney General and the state governments of California and Colorado concerning marijuana",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2015-01273,OIP,2/4/15,"Information regarding New Life Home Care, Inc.",Provided relevant information and assistance,,
FOIA-2015-01295,OIP,2/4/15,Information relating to two specific federal court cases,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2015-01333,OIP,2/4/15,Information on the status of a report submitted to the Department of Homeland Security,Referred requester and/or request to more appropriate entity (DHS),,
FOIA-2015-01369,OIP,2/4/15,Records on an investigation of a third party,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2015-01657,OAG,2/4/15,Records on the extradition request of Roman Polanski,Partial Grant/Partial Denial,"(b)(5), (b)(6), (b)(7)(C), (b)(7)(D)","Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to disclose the identity of a confidential source"
