Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2014-02528,ODAG ,11/7/14,"Records reflecting the number of times, starting from January 1, 2009, that a government attorney has sought the authorization of the Deputy Attorney General or Associate Attorney General before moving for or consenting to the closure of civil or criminal proceedings",Full Grant,,
FOIA-2014-02578,OASG ,11/7/14,"Records reflecting the number of times, starting from January 1, 2009, that a government attorney has sought the authorization of the Deputy Attorney General or Associate Attorney General before moving for or consenting to the closure of civil or criminal proceedings",Full Grant,,
FOIA-2014-04421,PAO ,11/12/14,A copy of the Department of Justice's external communication plan from the Office of Public Affairs,No Records,,
FOIA-2014-04667,OAG,11/19/14,"Records from June 1, 2014 to present from officials in the Office of the Attorney General, Deputy Attorney General, or Civil Rights Division regarding the possible creation of a  ""Local Police Czar"" within DOJ",No Records,,
FOIA-2014-04668,ODAG ,11/19/14,"Records from June 1, 2014 to present from officials in the Office of the Attorney General, Deputy Attorney General, or Civil Rights Division regarding the possible creation of a  ""Local Police Czar"" within DOJ",No Records,,
FOIA-2014-04798,OAG,11/14/14,Hijacking attempt of Flight 993 (9/3/1971),Full Grant of referred records,,
FOIA-2015-00004,PAO ,11/20/14,Certain records pertaining to Representative Vern Buchanan (R-FL),Partial Grant/Partial Denial,"(b)(6), (b)(7)(C)","Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2015-00021,OIP ,11/5/14,Information regarding requests previously submitted to the FBI and BOP,Provided relevant information and assistance,,
FOIA-2015-00091,OIP ,11/5/14,"Records regarding self, including a Deferred Action for Childhood Arrival (DACA) application",Referred requester and/or request to more appropriate entity (EOIR),,
FOIA-2015-00127,OIP ,11/4/14,A copy of the current version of the Department of Justice Guide to the Freedom of Information Act (FOIA Guide),"Provided requester with Table of Contents to FOIA Guide, to allow him to select the portions of interest to him, as duplication of entire publication would incur duplication fees",,
FOIA-2015-00128,OIP ,11/5/14,Information regarding requests previously submitted to the FBI and BOP,Provided relevant information and assistance,,
FOIA-2015-00129,OIP ,11/5/14,Information regarding requests previously submitted to the FBI and BOP,Provided relevant information and assistance,,
FOIA-2015-00131,OIP ,11/3/14,Roger Touhy (deceased),"Determined that referred records were improperly referred, and forwarded records to CIV for further review",,
FOIA-2015-00133,OIP ,11/5/14,A copy of 28 USC  §§ 1602-1611,Full Grant of publicly available material,,
FOIA-2015-00154,OIP ,11/7/14,Records concerning the Attorney General’s Honors Program,Referred requester and/or request to more appropriate entity (JMD),,
FOIA-2015-00155,OIP ,11/7/14,Records concerning the Attorney General’s Honors Program,Referred requester and/or request to more appropriate entity (JMD),,
FOIA-2015-00157,OIP ,11/7/14,Records concerning the Attorney General’s Honors Program,Referred requester and/or request to more appropriate entity (JMD),,
FOIA-2015-00227,OIP ,11/7/14,Information on violations and prosecutions under 18 U.S.C. § 228 from 2009 through 2013,Referred requester and/or request to more appropriate entity (CRM),,
FOIA-2015-00229,OLP ,11/18/14,"Appointment Affidavits, Oaths of Office, Presidential Commissions and Senate Confirmation documents for judges Michael B. Thornton and Lewis R. Carluzzo of the U.S. Tax Court",Referred requester and/or request to more appropriate entity (AOUSC),,
FOIA-2015-00232,OIP ,11/4/14,Copy of the Department of Justice Freedom of Information Reference Guide and records pertaining to self,Full Grant; Provided additional relevant information and assistance,,
