Year,Agency,Subagency,Full Grant,Partial Grant,Denial Exempt,No Records,All Records Referred,Withdrawn,Fee Related,Not Reasonably Described,Improper Request,Not Agency Record,Duplicate Request,Other Reason,Total
2008,USDA,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DOC,TOTAL,654,338,110,275,54,88,115,15,68,105,14,49,1885
2008,DoD,TOTAL,28451,14901,2554,7245,8574,2796,978,904,2413,944,1108,831,71699
2008,ED,TOTAL,644,1029,62,178,1,136,54,12,56,35,29,0,2236
2008,DOE,TOTAL,724,295,44,207,243,125,13,2,13,27,20,1,1714
2008,HHS,TOTAL,46820,776,1824,4737,1349,7697,292,133,934,36,412,1573,66583
2008,DHS,TOTAL,12405,55963,1190,8616,4581,1808,147,138,16391,2013,5529,247,109028
2008,HUD,TOTAL,764,316,67,265,194,206,134,129,144,51,175,621,3066
2008,DOI,TOTAL,2383,1012,111,520,126,145,91,159,44,61,29,69,4750
2008,DOJ,TOTAL,20743,6497,1819,15886,1168,1167,1613,5850,2187,1203,1653,1486,61272
2008,U.S. DOL,TOTAL,4706,7750,2048,3914,1050,349,130,187,144,120,325,247,20970
2008,State,TOTAL,606,903,722,542,241,176,73,269,1002,873,123,47,5577
2008,DOT,TOTAL,3938,2613,100,2521,37,684,140,18,59,109,19,164,10402
2008,Treasury,TOTAL,9053,2864,363,2737,340,289,41,35,5360,142,23,105,21352
2008,VA,TOTAL,51601,3332,9357,12279,7353,1415,713,1501,4428,1210,4472,794,98455
2008,ACUS,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,USAID,TOTAL,58,91,9,45,3,52,4,1,0,2,10,4,279
2008,ABMC,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,NRPC,TOTAL,35,28,12,9,0,13,64,11,35,3,28,2,240
2008,AFRH,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,BBG,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,CIA,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,CSB,TOTAL,4,10,10,2,0,10,0,2,1,1,0,0,40
2008,USCCR,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,CPPBSD,TOTAL,29,6,0,9,0,4,0,2,0,0,0,46,96
2008,CFTC,TOTAL,63,28,12,31,0,9,0,0,0,8,0,0,151
2008,CFPB,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,CPSC,TOTAL,2880,247,133,194,300,29,11,8,2,0,33,0,3837
2008,CNCS,TOTAL,40,5,0,1,0,0,0,1,0,0,0,0,47
2008,CIGIE,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,CSOSA,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DNFSB,TOTAL,9,0,1,16,0,0,0,0,0,0,1,0,27
2008,EPA,TOTAL,4712,538,72,5181,85,531,19,48,11,12,56,370,11635
2008,EEOC,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,CEQ,TOTAL,11,14,0,22,0,0,0,0,0,0,0,3,50
2008,OMB,TOTAL,48,13,30,48,1,0,0,0,0,2,0,0,142
2008,ONDCP,TOTAL,13,9,0,13,6,3,0,0,0,0,0,0,44
2008,OSTP,TOTAL,6,2,0,8,0,3,0,0,0,0,0,1,20
2008,USTR,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Ex-Im Bank,TOTAL,41,43,3,4,0,6,0,0,0,0,0,0,97
2008,FCA,TOTAL,12,6,1,9,0,0,0,0,0,0,0,0,28
2008,FCSIC,TOTAL,1,0,0,5,0,0,0,0,0,0,0,0,6
2008,FCC,TOTAL,201,255,9,90,3,65,59,23,2,9,3,11,730
2008,FDIC,TOTAL,531,44,27,50,1,82,11,28,0,4,2,0,780
2008,FEC,TOTAL,16,29,1,27,1,8,0,0,0,0,0,0,82
2008,FERC,TOTAL,39,21,12,11,1,11,1,0,0,0,0,0,96
2008,FFIEC,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,FHFA,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,FLRA,TOTAL,43,8,1,13,5,1,0,0,0,0,0,6,77
2008,FMC,TOTAL,0,0,0,1,0,1,0,0,0,0,0,0,2
2008,FMCS,TOTAL,81,2,0,13,0,1,3,1,0,6,0,0,107
2008,FMSHRC,TOTAL,56,0,0,2,0,1,0,0,0,0,0,0,59
2008,FOMC,TOTAL,7,3,1,6,2,0,0,0,2,0,0,0,21
2008,FRB,TOTAL,496,91,27,53,58,97,0,7,4,0,3,0,836
2008,FRTIB,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,FTC,TOTAL,612,341,13,152,1,40,3,4,4,2,2,4,1178
2008,GSA,TOTAL,1296,134,27,0,0,0,0,0,0,0,0,0,1457
2008,IMLS,TOTAL,15,18,0,10,0,0,0,0,1,0,0,0,44
2008,IAF,TOTAL,1,0,0,3,0,0,0,2,0,0,0,0,6
2008,LSC,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,MSPB,TOTAL,315,15,0,28,1,3,0,1,0,0,4,0,367
2008,MCC,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,NASA,TOTAL,397,353,59,126,150,64,25,32,14,2,9,27,1258
2008,NARA,TOTAL,506,190,25,12232,108,27,10,177,21,8,23,145,13472
2008,NCPC,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,NCUA,TOTAL,53,58,7,10,0,13,1,0,7,4,0,0,153
2008,NEA,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,NEH,TOTAL,7,10,1,3,0,0,0,0,0,0,0,3,24
2008,NIGC,TOTAL,23,42,5,23,0,6,5,0,0,0,0,0,104
2008,NLRB,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,NMB,TOTAL,11,1,1,3,0,0,0,0,0,0,0,0,16
2008,NSF,TOTAL,36,255,8,9,0,17,4,3,1,14,0,5,352
2008,NTSB,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,USNRC,TOTAL,132,86,14,53,0,23,12,1,0,3,3,33,360
2008,OSHRC,TOTAL,32,3,0,10,0,29,0,0,0,0,0,0,74
2008,OGE,TOTAL,8,6,0,24,2,0,0,2,0,0,0,0,42
