Year,Agency,ex1,ex2,ex3,ex4,ex5,ex6,ex7a,ex7b,ex7c,ex7d,ex7e,ex7f,ex8,ex9
2008,USDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,DOC,3,59,127,93,124,140,14,1,19,3,8,1,1,0
2008,DoD,2150,2664,2247,1527,2064,10513,588,30,5169,136,81,17,8,8
2008,ED,0,103,4,468,150,633,133,13,393,2,7,0,0,0
2008,DOE,10,37,26,89,73,159,1,0,20,0,0,0,0,1
2008,HHS,0,70,82,470,234,2129,100,1,81,7,5,0,0,0
2008,DHS,138,42766,307,371,34745,39084,772,67,43728,162,35800,88,0,0
2008,HUD,0,30,8,86,68,266,24,0,38,0,14,0,0,0
2008,DOI,1,111,50,163,384,767,84,2,195,16,34,17,0,4
2008,DOJ,696,3179,944,145,1542,4357,447,45,5538,1973,776,696,2,0
2008,U.S. DOL,0,806,11,4483,5581,2510,1665,48,5864,3369,633,0,0,0
2008,State,537,99,944,104,166,404,26,2,64,12,15,13,0,0
2008,DOT,2,141,149,319,614,1583,99,2,442,114,11,1,0,0
2008,Treasury,13,197,2245,317,692,853,486,0,1059,84,985,9,230,0
2008,VA,0,100,4287,79,217,8936,207,27,638,26,18,7,0,0
2008,ACUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,USAID,2,17,28,57,9,50,0,0,0,0,0,0,0,0
2008,ABMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,NRPC,0,10,7,8,22,12,2,0,5,0,1,0,0,0
2008,AFRH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,BBG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,CIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,CSB,0,2,0,9,7,8,10,0,7,5,4,0,0,0
2008,USCCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,CPPBSD,0,0,0,2,2,2,0,0,0,0,0,0,0,0
2008,CFTC,0,0,17,28,8,11,7,0,4,1,5,1,11,0
2008,CFPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,U.S. CPSC,0,0,377,195,216,83,139,0,0,5,1,0,0,0
2008,CNCS,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2008,CIGIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,CSOSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
