Agency,Component,Year,Appeal Pending on Start,Appeal Received in FY,Appeal Processed in FY,Appeal Left for Next,
US RRB,US RRB,2012,0,2,2,0
USITC,USITC,2012,0,0,0,0
FMSHRC,FMSHRC,2012,0,0,0,0
USIBWC,USIBWC,2012,0,0,0,0
FCSIC,FCSIC,2012,0,0,0,0
FMC,FMC,2012,0,0,0,0
FFIEC,FFIEC,2012,0,1,1,0
CNCS,CNCS,2012,0,2,1,1
STB,STB,2012,0,0,0,0
NIGC,NIGC,2012,0,0,0,0
MSPB,MSPB,2012,0,23,22,1
IMLS,IMLS,2012,0,0,0,0
NASA,NASA,2012,0,26,24,2
FHFA,FHFA,2012,0,12,11,1
MCC,MCC,2012,0,1,1,0
LSC,LSC,2012,0,2,2,0
PRC,PRC,2012,0,0,0,0
SIGIR,SIGIR,2012,0,1,1,0
CEQ,CEQ,2012,0,1,1,0
USCCR,USCCR,2012,0,0,0,0
ABMC,ABMC,2012,0,0,0,0
OSTP,OSTP,2012,0,8,8,0
NTSB,NTSB,2012,0,7,7,0
USNRC,USNRC,2012,0,10,10,0
ONHIR,ONHIR,2012,0,0,0,0
TVA,TVA,2012,0,6,6,0
NEA,NEA,2012,0,1,1,0
SSS,SSS,2012,0,0,0,0
NCPC,NCPC,2012,0,2,2,0
FLRA,FLRA,2012,0,2,2,0
USTDA,USTDA,2012,0,1,0,1
USTR,USTR,2012,0,1,1,0
NSF,NSF,2012,0,12,12,0
OSHRC,OSHRC,2012,0,0,0,0
OPIC,OPIC,2012,0,4,4,0
OMB,OMB,2012,0,17,17,0
OGE,OGE,2012,0,4,4,0
US ADF,US ADF,2012,0,0,0,0
BBG,BBG,2012,0,4,4,0
ONDCP,ONDCP,2012,0,0,0,0
AFRH,AFRH,2012,0,0,0,0
RATB,RATB,2012,0,1,1,0
FMCS,FMCS,2012,0,1,1,0
FCA,FCA,2012,0,0,0,0
IAF,IAF,2012,0,0,0,0
NMB,NMB,2012,0,0,0,0
CSOSA,CSOSA,2012,0,2,2,0
CPPBSD,CPPBSD,2012,0,0,0,0
ACUS,ACUS,2012,0,0,0,0
CIGIE,CIGIE,2012,0,3,1,2
FRTIB,FRTIB,2012,0,0,0,0
FOMC,FOMC,2012,0,1,1,0
CO,CO,2012,0,0,0,0
CSB,CSB,2012,0,1,1,0
U.S. CPSC,U.S. CPSC,2012,0,19,19,0
SIGAR,SIGAR,2012,0,0,0,0
DNFSB,DNFSB,2012,0,0,0,0
SBA,SBA,2012,1,21,22,0
FERC,FERC,2012,1,5,5,1
NCUA,NCUA,2012,1,7,8,0
FEC,FEC,2012,1,4,4,1
FRB,FRB,2012,1,25,18,8
NEH,NEH,2012,1,1,2,0
Ex-Im Bank,Ex-Im Bank,2012,1,1,0,2
FDIC,FDIC,2012,2,44,40,6
HUD,HUD,2012,2,56,53,5
PC,PC,2012,2,9,11,0
PBGC,PBGC,2012,2,6,8,0
NRPC,NRPC,2012,2,2,3,1
CFTC,CFTC,2012,2,6,3,5
GSA,GSA,2012,3,33,28,8
FTC,FTC,2012,3,29,32,0
NARA,NARA,2012,6,61,60,7
OPM,OPM,2012,8,30,34,4
OSC,OSC,2012,9,8,6,11
USPS,USPS,2012,11,148,139,20
DOE,DOE,2012,11,74,73,12
SSA,SSA,2012,14,867,844,37
FCC,FCC,2012,15,18,23,10
ODNI,ODNI,2012,15,16,12,19
SEC,SEC,2012,22,115,121,16
NLRB,NLRB,2012,22,34,54,2
USAID,USAID,2012,23,18,5,36
EEOC,EEOC,2012,28,370,380,18
ED,ED,2012,41,25,34,32
DOC,DOC,2012,57,76,96,37
Treasury,Treasury,2012,73,313,311,75
DOT,DOT,2012,74,147,173,48
U.S. DOL,U.S. DOL,2012,88,414,354,148
EPA,EPA,2012,106,215,246,75
USDA,USDA,2012,169,210,180,199
CIA,CIA,2012,200,315,302,213
DOI,DOI,2012,234,188,225,197
HHS,HHS,2012,239,311,245,305
VA,VA,2012,318,225,353,190
State,State,2012,329,212,130,411
DHS,DHS,2012,461,2345,2490,316
DOJ,DOJ,2012,501,3569,3412,658
DoD,DoD,2012,755,1148,1080,823
