Agency,Component,Year,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicate within 10 Calendar Days,
US RRB,US RRB,2012,0,0,0,0,0
USIBWC,USIBWC,2012,0,0,0,0,0
FFIEC,FFIEC,2012,0,0,,,
CIA,CIA,2012,0,33,,,
STB,STB,2012,0,0,,,
SBA,SBA,2012,0,0,,,
NIGC,NIGC,2012,0,2,22.5,22.5,0
IMLS,IMLS,2012,0,0,0,0,0
FERC,FERC,2012,0,3,8,6,3
FCC,FCC,2012,0,2,12.5,12.5,0
NASA,NASA,2012,0,4,0,0.25,4
FHFA,FHFA,2012,0,15,0,0.93,15
MCC,MCC,2012,0,0,0,0,0
PRC,PRC,2012,0,0,0,0,0
SIGIR,SIGIR,2012,0,0,,,
USCCR,USCCR,2012,0,0,,,0
ABMC,ABMC,2012,0,0,,,
PBGC,PBGC,2012,0,0,0,0,0
ONHIR,ONHIR,2012,0,0,0,0,0
TVA,TVA,2012,0,0,,,
SSS,SSS,2012,0,0,0,0,0
SSA,SSA,2012,0,0,0,0,0
NCPC,NCPC,2012,0,0,,,
FLRA,FLRA,2012,0,0,,,
USTDA,USTDA,2012,0,1,13,13,0
NSF,NSF,2012,0,1,1,1,1
OSHRC,OSHRC,2012,0,0,0,0,0
OPIC,OPIC,2012,0,2,5.5,5.5,1
OMB,OMB,2012,0,0,0,0,0
OGE,OGE,2012,0,0,0,0,0
ONDCP,ONDCP,2012,0,0,0,0,0
AFRH,AFRH,2012,0,0,0,0,0
RATB,RATB,2012,0,2,5,5,2
IAF,IAF,2012,0,0,0,0,0
NMB,NMB,2012,0,1,1,1,1
CSOSA,CSOSA,2012,0,1,1,1,1
CIGIE,CIGIE,2012,0,1,1,1,1
FRTIB,FRTIB,2012,0,0,0,0,0
CO,CO,2012,0,0,0,0,0
CFTC,CFTC,2012,0,1,13,13,0
SIGAR,SIGAR,2012,0,0,,,
DNFSB,DNFSB,2012,0,0,0,0,0
Ex-Im Bank,Ex-Im Bank,2012,0,0,0,0,0
ODNI,ODNI,2012,0,0,,,
USITC,USITC,2012,1,4,1,1,5
NCUA,NCUA,2012,1,0,2,2,1
NTSB,NTSB,2012,1,0,1,1,1
US ADF,US ADF,2012,1,0,3,3,1
CPPBSD,CPPBSD,2012,1,0,3,3,1
ACUS,ACUS,2012,1,0,0,0,0
FOMC,FOMC,2012,1,0,3,3,1
U.S. CPSC,U.S. CPSC,2012,1,3,20,20,0
FMSHRC,FMSHRC,2012,2,0,12.5,12.5,1
FEC,FEC,2012,2,13,0,1.5,15
LSC,LSC,2012,2,1,6,8.67,2
CEQ,CEQ,2012,2,0,6.5,6.5,0
PC,PC,2012,2,2,7,7,3
USPS,USPS,2012,2,38,0,4.03,35
BBG,BBG,2012,2,2,10,10,3
NRPC,NRPC,2012,2,3,1,1,5
FCSIC,FCSIC,2012,3,0,7,5.66,3
FMC,FMC,2012,3,0,5,5.3,3
MSPB,MSPB,2012,3,0,8,8,3
FTC,FTC,2012,3,12,2,3,14
NEH,NEH,2012,3,0,9,9.3,3
USNRC,USNRC,2012,4,33,0,1,37
USTR,USTR,2012,4,17,3,6,8
CSB,CSB,2012,4,0,9,9,3
CNCS,CNCS,2012,5,3,8.5,16,4
USAID,USAID,2012,5,1,1,2.17,5
DOE,DOE,2012,5,103,5,11.06,81
NEA,NEA,2012,6,11,1,2,16
NLRB,NLRB,2012,6,5,3,4,7
FRB,FRB,2012,6,7,10,15,7
OSTP,OSTP,2012,7,0,0,3.14,7
FCA,FCA,2012,7,0,7,6.71,7
DOC,DOC,2012,8,26,6,8,31
EEOC,EEOC,2012,9,7,0,9.14286,14
OSC,OSC,2012,9,5,12,23,7
ED,ED,2012,11,7,1,0.98,18
EPA,EPA,2012,12,209,5,5.66,191
GSA,GSA,2012,12,21,33,39.88,2
HUD,HUD,2012,12,292,2.75,4.76,27
State,State,2012,16,205,20,27.12,75
SEC,SEC,2012,21,171,3,4,185
FMCS,FMCS,2012,21,0,2,2,21
NARA,NARA,2012,22,4,2.5,9.5,18
HHS,HHS,2012,27,272,6,3,265
DOI,DOI,2012,28,39,5,9,31
VA,VA,2012,28,78,2.5,9.6,81
USDA,USDA,2012,33,475,1,8.09,495
FDIC,FDIC,2012,39,102,1,2.25,135
DHS,DHS,2012,59,1122,4,6.63,991
DOT,DOT,2012,81,243,1,1.816,290
DOJ,DOJ,2012,106,866,1,5.35,867
OPM,OPM,2012,112,19,1,1,111
U.S. DOL,U.S. DOL,2012,117,470,21,347,231
Treasury,Treasury,2012,140,206,5,1.79,323
DoD,DoD,2012,377,749,,2,1009
