Agency,Component,Year,Oldest Request Pending Days,2nd Request Pending,3th Request Pending,4th Request Pending,5th Request Pending,6th Request Pending,7th Request Pending,8th Request Pending,9th Request Pending,10th Request Pending,
US RRB,US RRB,2012,,,,,,,,,,
FCSIC,FCSIC,2012,,,,,,,,,,
FFIEC,FFIEC,2012,,,,,,,,,,
STB,STB,2012,,,,,,,,,,
MSPB,MSPB,2012,,,,,,,,,,
MCC,MCC,2012,,,,,,,,,,
LSC,LSC,2012,,,,,,,,,,
PRC,PRC,2012,,,,,,,,,,
SIGIR,SIGIR,2012,,,,,,,,,,
USCCR,USCCR,2012,,,,,,,,,,
ONHIR,ONHIR,2012,,,,,,,,,,
SSS,SSS,2012,,,,,,,,,,
NCPC,NCPC,2012,,,,,,,,,,
OSHRC,OSHRC,2012,,,,,,,,,,
OGE,OGE,2012,,,,,,,,,,
US ADF,US ADF,2012,,,,,,,,,,
AFRH,AFRH,2012,,,,,,,,,,
IAF,IAF,2012,,,,,,,,,,
NEH,NEH,2012,,,,,,,,,,
CPPBSD,CPPBSD,2012,,,,,,,,,,
ACUS,ACUS,2012,,,,,,,,,,
DNFSB,DNFSB,2012,,,,,,,,,,
IMLS,IMLS,2012,1,,,,,,,,,
FLRA,FLRA,2012,3,,,,,,,,,
RATB,RATB,2012,4,,,,,,,,,
FMCS,FMCS,2012,4,3,,,,,,,,
FMSHRC,FMSHRC,2012,5,2,1,,,,,,,
BBG,BBG,2012,7,15,14,6,,,,,,
FCA,FCA,2012,7,,,,,,,,,
USITC,USITC,2012,8,,,,,,,,,
OSTP,OSTP,2012,11,2,2,,,,,,,
PBGC,PBGC,2012,14,13,12,12,11,10,10,9,9,9
FDIC,FDIC,2012,23,23,19,18,16,15,15,14,14,13
USIBWC,USIBWC,2012,30,10,9,,,,,,,
SIGAR,SIGAR,2012,50,,,,,,,,,
FHFA,FHFA,2012,57,82,82,67,50,44,25,22,13,8
FRTIB,FRTIB,2012,58,28,20,6,,,,,,
NMB,NMB,2012,87,,,,,,,,,
FOMC,FOMC,2012,91,91,91,91,91,91,25,24,,
FTC,FTC,2012,96,7,6,5,5,4,1,,,
OPIC,OPIC,2012,99,11,,,,,,,,
EEOC,EEOC,2012,105,105,68,68,60,60,58,58,57,56
CSOSA,CSOSA,2012,105,100,99,79,32,25,22,17,13,10
CIGIE,CIGIE,2012,130,86,34,22,,,,,,
FERC,FERC,2012,151,151,144,80,60,34,20,19,14,11
SBA,SBA,2012,158,115,86,80,46,41,37,26,25,24
OMB,OMB,2012,162,130,84,68,51,37,21,20,17,17
NCUA,NCUA,2012,201,135,123,46,44,19,13,3,,
NEA,NEA,2012,210,196,159,159,100,80,80,69,47,24
ONDCP,ONDCP,2012,215,210,120,,,,,,,
SSA,SSA,2012,238,230,184,175,154,151,122,107,101,91
NASA,NASA,2012,241,115,115,114,108,106,96,72,64,62
NLRB,NLRB,2012,268,197,169,113,113,60,60,53,48,48
GSA,GSA,2012,269,256,246,230,190,187,186,177,171,164
CNCS,CNCS,2012,294,192,188,157,157,142,133,119,96,51
ABMC,ABMC,2012,309,,,,,,,,,
FEC,FEC,2012,330,223,70,42,42,7,6,1,,
OPM,OPM,2012,340,327,323,310,302,299,285,251,240,237
TVA,TVA,2012,377,288,132,104,104,104,104,104,98,95
NIGC,NIGC,2012,390,349,349,349,318,318,268,200,186,185
FMC,FMC,2012,394,383,367,366,316,253,203,155,154,144
USNRC,USNRC,2012,413,389,389,389,388,385,384,383,382,381
HUD,HUD,2012,478,450,409,380,376,370,359,205,145,137
NRPC,NRPC,2012,500,312,240,194,188,188,173,100,100,95
CEQ,CEQ,2012,539,519,299,293,281,235,227,160,143,120
Ex-Im Bank,Ex-Im Bank,2012,544,538,500,430,419,353,351,343,336,336
NSF,NSF,2012,557,557,556,552,552,552,552,552,552,552
OSC,OSC,2012,564,502,487,443,441,426,418,362,354,354
CFTC,CFTC,2012,588,479,262,247,246,241,221,204,164,151
USTDA,USTDA,2012,605,,,,,,,,,
FCC,FCC,2012,648,512,467,360,337,337,291,272,260,260
NTSB,NTSB,2012,650,650,398,386,385,380,376,347,342,342
PC,PC,2012,693,478,464,459,389,371,293,200,165,136
CO,CO,2012,715,140,93,93,,,,,,
SEC,SEC,2012,782,760,755,634,632,588,585,570,545,545
FRB,FRB,2012,784,703,633,427,346,273,228,222,215,199
ED,ED,2012,825,678,584,570,545,539,510,490,455,418
VA,VA,2012,898,874,870,859,733,728,718,681,651,621
USTR,USTR,2012,923,928,816,457,424,369,317,200,191,163
USPS,USPS,2012,1007,656,360,345,337,333,224,211,206,200
DOJ,DOJ,2012,1030,1015,1015,1015,1015,1015,1013,894,892,881
USAID,USAID,2012,1115,1110,1107,905,892,806,800,792,783,763
U.S. CPSC,U.S. CPSC,2012,1131,1051,961,816,802,801,761,660,660,656
CSB,CSB,2012,1156,1059,888,743,732,718,594,582,544,526
USDA,USDA,2012,1188,923,739,736,732,723,721,721,710,679
DOC,DOC,2012,1333,959,893,855,752,601,593,589,581,572
DOI,DOI,2012,1338,1231,1222,1220,1206,1205,1112,1030,1030,1027
