Agency,Component,Year,Request Full Grant,Request Partial Grant,Request Full Denial Exemption,No Record,All Records,Request Withdraw,Fee-Relative,Not Reasonable,Improper FOIA,Not Agency Record,Duplicate Request,Other,Total,
US ADF,US ADF,2013,0,0,0,4,0,0,0,0,0,0,0,0,4
SIGAR,SIGAR,2013,0,12,4,7,4,3,0,0,0,0,0,0,30
ABMC,ABMC,2013,1,1,0,1,0,0,0,0,0,0,0,0,3
CPPBSD,CPPBSD,2013,1,2,0,1,0,0,0,0,0,0,0,0,4
CIGIE,CIGIE,2013,1,12,1,11,5,1,0,0,0,0,0,0,31
DNFSB,DNFSB,2013,1,2,1,9,0,0,0,1,0,0,0,0,14
OPIC,OPIC,2013,2,16,0,8,0,1,1,1,1,0,0,0,30
ACUS,ACUS,2013,2,1,0,16,0,0,0,0,0,0,0,0,19
MCC,MCC,2013,4,11,5,1,0,0,0,0,0,0,0,0,21
PRC,PRC,2013,4,1,0,0,18,1,0,0,0,0,0,0,24
RATB,RATB,2013,4,1,2,5,0,2,0,0,0,0,0,0,14
FCSIC,FCSIC,2013,5,0,0,3,0,0,0,0,0,0,0,0,8
FMC,FMC,2013,5,7,1,8,0,2,0,1,0,0,0,0,24
NCPC,NCPC,2013,5,0,0,4,0,0,0,0,0,0,0,0,9
USTDA,USTDA,2013,5,0,1,5,0,1,0,0,0,0,0,0,12
OSTP,OSTP,2013,6,16,1,96,0,7,0,4,0,0,0,0,130
USCCR,USCCR,2013,7,2,0,4,0,0,0,0,1,9,0,0,23
AFRH,AFRH,2013,7,6,3,1,1,0,0,0,0,0,0,0,18
IAF,IAF,2013,7,1,1,2,0,0,0,0,0,0,0,0,11
NIGC,NIGC,2013,8,18,3,6,0,7,1,0,1,0,0,1,45
FFIEC,FFIEC,2013,9,2,0,3,4,1,0,0,1,2,0,0,22
FRTIB,FRTIB,2013,9,7,1,8,0,0,0,0,0,0,0,1,26
FOMC,FOMC,2013,9,3,1,1,3,1,0,0,3,0,0,0,21
IMLS,IMLS,2013,10,18,0,7,0,0,0,1,0,2,0,3,41
USIBWC,USIBWC,2013,11,0,1,1,2,0,3,1,0,0,0,0,19
CEQ,CEQ,2013,12,8,0,10,0,4,0,0,0,0,0,0,34
OSC,OSC,2013,12,34,15,15,0,2,0,0,11,40,0,0,129
CO,CO,2013,12,3,2,7,9,0,1,0,0,2,0,0,36
