Agency,Component,Year,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,
US RRB,US RRB,2013,0,0,,
USITC,USITC,2013,0,1,8,8
FCSIC,FCSIC,2013,0,0,,
FMC,FMC,2013,0,0,,
FFIEC,FFIEC,2013,0,0,,
CNCS,CNCS,2013,0,0,0,0
CIA,CIA,2013,0,1,25,25
STB,STB,2013,0,0,,
MSPB,MSPB,2013,0,0,0,0
FERC,FERC,2013,0,2,11,11
MCC,MCC,2013,0,0,,
CEQ,CEQ,2013,0,0,,
PC,PC,2013,0,0,,
OSC,OSC,2013,0,0,,
PBGC,PBGC,2013,0,0,,
ONHIR,ONHIR,2013,0,0,,
SSS,SSS,2013,0,0,,
NLRB,NLRB,2013,0,6,17,25
SSA,SSA,2013,0,4,26,41
NCPC,NCPC,2013,0,0,,
USTDA,USTDA,2013,0,0,,
NSF,NSF,2013,0,0,,
OGE,OGE,2013,0,0,0,0
US ADF,US ADF,2013,0,0,0,0
ONDCP,ONDCP,2013,0,0,,
AFRH,AFRH,2013,0,0,,
FMCS,FMCS,2013,0,1,1,1
IAF,IAF,2013,0,0,,
FRB,FRB,2013,0,0,0,0
NMB,NMB,2013,0,0,,
CSOSA,CSOSA,2013,0,0,,
ACUS,ACUS,2013,0,0,,
CIGIE,CIGIE,2013,0,0,,
FRTIB,FRTIB,2013,0,0,,
CO,CO,2013,0,0,,
CFTC,CFTC,2013,0,0,,
SIGAR,SIGAR,2013,0,0,0,0
ODNI,ODNI,2013,0,0,,
USIBWC,USIBWC,2013,1,0,26,26
NIGC,NIGC,2013,1,0,15,15
IMLS,IMLS,2013,1,0,1,1
GSA,GSA,2013,1,12,42,51.15
FCC,FCC,2013,1,43,5,6.9
LSC,LSC,2013,1,0,15,15
PRC,PRC,2013,1,0,29,29
CFPB,CFPB,2013,1,3,1,1
NEA,NEA,2013,1,1,1,3
FLRA,FLRA,2013,1,3,11,11
OPIC,OPIC,2013,1,1,2.5,2.5
BBG,BBG,2013,1,10,13,13
RATB,RATB,2013,1,0,5,5
OPM,OPM,2013,2,1,1,4
NCUA,NCUA,2013,2,0,7,7
NTSB,NTSB,2013,2,2,1,1.25
OMB,OMB,2013,2,0,20,20
NEH,NEH,2013,2,0,1,1
CPPBSD,CPPBSD,2013,2,0,0,0
U.S. CPSC,U.S. CPSC,2013,2,0,1,1
ABMC,ABMC,2013,3,0,0,0
OSHRC,OSHRC,2013,3,0,1,1
FOMC,FOMC,2013,3,0,16,12.3
USCCR,USCCR,2013,4,0,1,1
USPS,USPS,2013,4,17,1,1.14
CSB,CSB,2013,4,0,,
DNFSB,DNFSB,2013,4,0,11.5,11.5
Ex-Im Bank,Ex-Im Bank,2013,4,0,1,1
USAID,USAID,2013,5,1,1,1
OSTP,OSTP,2013,5,0,5,52.8
FMSHRC,FMSHRC,2013,6,0,7.5,7.8
NASA,NASA,2013,6,22,1,4.36
EEOC,EEOC,2013,6,4,1,0.941176
SBA,SBA,2013,8,3,9.5,11.6
FHFA,FHFA,2013,8,27,1,1
SEC,SEC,2013,11,18,1,12.97
NRPC,NRPC,2013,11,5,1,1
NARA,NARA,2013,12,23,3,7
FTC,FTC,2013,13,15,12,15.82
TVA,TVA,2013,14,2,10,9.7
USTR,USTR,2013,14,6,4,6
FDIC,FDIC,2013,15,29,,0.5
HUD,HUD,2013,23,87,4,5.58
USNRC,USNRC,2013,23,12,1,1
FCA,FCA,2013,28,0,11.5,9.98
FEC,FEC,2013,32,0,1,1
DOJ,DOJ,2013,67,447,1,19
DOC,DOC,2013,85,75,5,12
ED,ED,2013,101,117,4,21.42
Treasury,Treasury,2013,106,47,13,10.5
VA,VA,2013,110,63,0,11.72
DOT,DOT,2013,112,73,1,7.597
DHS,DHS,2013,116,251,2,4.90333
DOE,DOE,2013,185,39,0,4.14
State,State,2013,219,185,1.43,21.56
EPA,EPA,2013,232,541,8,14.7
U.S. DOL,U.S. DOL,2013,300,764,11,37.1
DOI,DOI,2013,458,35,1,6
HHS,HHS,2013,476,41,9,19
DoD,DoD,2013,1031,661,49,7
USDA,USDA,2013,1246,55,1,6.75
