Agency,Component,Year,Simple-Median No. of Days,Simple-Average No. of Days,Simple-Lowest No. of Days,Simple-Highest No. of Days,Complex-Median No. of Days,Complex-Average No. of Days,Complex-Lowest No. of Days,Complex-Highest No. of Days,Expedited Processing-Median No. of Days,Expedited Processing-Average No. of Days,Expedited Processing-Lowest No. of Days,Expedited Processing-Highest No. of Days,
DoD,DoD,2013,,10,-1,2206,,93,-1,4585,,15,-1,0
USTDA,USTDA,2013,,,,,20,25.6,7,44,,,,
US ADF,US ADF,2013,,,,,,,,,,,,
BBG,BBG,2013,,,,,40,46,6,99,,,,
ACUS,ACUS,2013,-1,-1,-1,-1,,,,,,,,
PBGC,PBGC,2013,0,0,0,0,9,10,1,198,,,,
DOI,DOI,2013,1,3,-1,120,18,45,-1,1492,14,65,-1,579
FMSHRC,FMSHRC,2013,1,3,1,24,6,9.3,1,34,7,5.7,1,9
NCPC,NCPC,2013,1,4.4,1,16,,,,,,,,
FMC,FMC,2013,1.5,2.5,1,6,523.5,444.5,71,576,140,140,31,249
USCCR,USCCR,2013,2,3,-1,8,0,0,0,0,0,0,0,0
SSS,SSS,2013,2,2,1,3,,,,,,,,
FRB,FRB,2013,2,4,-1,32,25,50,1,880,,,,
NRPC,NRPC,2013,2.5,5.08,1,20,33.5,63.08,1,539,64.5,64.5,55,74
STB,STB,2013,3,6.45,1,19,,,,,,,,
VA,VA,2013,3,10.7,-1,449,14,37.74,-1,1092,12,41.17,-1,176
NLRB,NLRB,2013,4,6,-1,146,,,,,4,6,1,10
FMCS,FMCS,2013,4,4.3,-1,16,14,14.8,4,22,2,8.3,1,22
NASA,NASA,2013,5,8.04,-1,35,24,33.44,-1,252,,,,
RATB,RATB,2013,5,9.2,2,29,,,,,,,,
FTC,FTC,2013,5,7.7,1,106,21.5,34.12,1,588,,,,
U.S. CPSC,U.S. CPSC,2013,5,21,1,191,62,97,1,1159,,,,
SBA,SBA,2013,6,8,2,97,,,,,,,,
ONHIR,ONHIR,2013,6,8.53,1,37,,,,,,,,
TVA,TVA,2013,6,8.7,1,20,35,70,21,292,,,,
CO,CO,2013,6,8.5,2,34,,,,,,,,
CSB,CSB,2013,6,5.6,1,12,685,664,38,1192,,,,
OGE,OGE,2013,7,8.9,1,30,0,0,0,0,0,0,0,0
USITC,USITC,2013,8,9,1,20,30,30,30,30,0,0,0,0
NCUA,NCUA,2013,8,11.17,-1,61,44,71.3,6,346,163,163,163,163
HHS,HHS,2013,9,75,,1244,64,133,,1541,36,127,1,495
EPA,EPA,2013,9,8.05,-1,14,30,30.56,-1,49,28,161.86,14,524
IMLS,IMLS,2013,9,9.9,1,18,24.5,24.8,21,30,0,0,0,0
LSC,LSC,2013,9,10.09,1,27,,,,,,,,
CFPB,CFPB,2013,9,9.95,-1,41,33.5,37.13,3,128,,,,
NEA,NEA,2013,9,20,1,100,25,25,17,466,11.5,10,1,18
FLRA,FLRA,2013,9,11.16,-1,51,38,37.33,18,56,,,,
FCA,FCA,2013,9,9,-1,18,,,,,18,18,18,18
FOMC,FOMC,2013,9.5,11.3,4,18,208,198.5,36,342,,,,
FDIC,FDIC,2013,10,12.6,-1,50,12.5,13.5,3,34,1.5,3.5,-1,9
OSHRC,OSHRC,2013,10,11.9,-1,24,55,55,55,55,,,,
OPIC,OPIC,2013,10,32.5,-1,322,,,,,10,10,10,10
CSOSA,CSOSA,2013,10,11.74,1,122,,,,,1,1,1,1
Treasury,Treasury,2013,11,11.93,-1,648,11,14.93,-1,2064,9,67.66,-1,88
ABMC,ABMC,2013,11,72,10,193,,,,,,,,
USNRC,USNRC,2013,11,15,2,93,40,83,1,394,391,391,391,391
CPPBSD,CPPBSD,2013,11,9.66,5,13,20,20,20,20,0,0,0,0
CIA,CIA,2013,12,101.33,1,2180,67,196.73,1,3055,1032,1032,1021,1043
U.S. DOL,U.S. DOL,2013,12,22,0,1211,13,25.1,0,1285,7.5,37.7,1,519
NEH,NEH,2013,12.5,11.36,-1,20,23,23,20,26,5.5,5.5,2,9
DOJ,DOJ,2013,13,23.91,-1,815,84,137.4,-1,1132,22,135.36,-1,997
FCSIC,FCSIC,2013,13,13,10,16,,,,,,,,
MSPB,MSPB,2013,13,19.12,-1,105,64.5,76.9,32,150,,,,
OMB,OMB,2013,13,27,2,233,,,,,,,,
IAF,IAF,2013,13,14.375,2,35,,,,,,,,
FFIEC,FFIEC,2013,14,12.9,1,23,,,,,,,,
OSTP,OSTP,2013,14,14,1,40,7,7,2,234,2,2,2,2
USPS,USPS,2013,14,18.99,-1,332,26,57.95,-1,1059,4,4,1,7
DOE,DOE,2013,14,28.37,-1,336,59,192.19,-1,2043,33,47.67,-1,195
OPM,OPM,2013,15,22,1,406,35,41,1,791,17,37,3,398
DOC,DOC,2013,15,12,1,20,61,108,1,1114,12,11,1,28
NMB,NMB,2013,15,6,-1,20,0,0,0,0,15,15,15,15
ED,ED,2013,15,28.27,-1,423,31,58.48,-1,817,2,79,-1,312
FHFA,FHFA,2013,16,19.89,-1,109,57,67.11,3,158,,,,
USTR,USTR,2013,16,17,1,39,42,42,11,789,,,,
USDA,USDA,2013,16,15.53,1,629,23,46.67,1,1162,14.5,21.25,1,45
AFRH,AFRH,2013,16,13,1,21,,,,,,,,
NARA,NARA,2013,16,334.7,-1,2696,297,686,-1,5210,5,10.67,5,22
DOT,DOT,2013,16,27.786,-1,1491,35,55.638,-1,1074,15,55.106,-1,601
DHS,DHS,2013,16.5,36.8479,1,544,58.25,101.369,1,2120,26.37,56.1257,1,219
HUD,HUD,2013,16.75,20.88,1,264,24,33.68,1,660,3,6.98,2,89
USIBWC,USIBWC,2013,17,14.2,1,27,54,64,42,110,,,,
EEOC,EEOC,2013,17,17.73,1,306,,,,,,,,
PRC,PRC,2013,17,16,10,20,0,0,0,0,0,0,0,0
US RRB,US RRB,2013,18,13.63,1,26,,,,,,,,
MCC,MCC,2013,19,19,2,55,,,,,,,,
OSC,OSC,2013,19,67.86,2,301,321,329.5,28,715,292,197,1,377
ODNI,ODNI,2013,19,88.53,1,1407,73,140.4,-1,1145,,,,
FEC,FEC,2013,19.5,17.2,3,35,26,34.3,12,88,0,0,0,0
DNFSB,DNFSB,2013,19.5,22,10,39,,,,,,,,
FERC,FERC,2013,20,25,10,87,30,62,17,212,,,,
FCC,FCC,2013,20,36,-1,902,118.5,118.5,19,218,12,12,12,12
SSA,SSA,2013,20,20,1,45,44,60,4,299,,,,
SIGAR,SIGAR,2013,20,20,7,53,,,,,,,,
CNCS,CNCS,2013,21,47,-1,280,104,153,24,379,279,192,4,380
GSA,GSA,2013,21,20.06,-1,40,48,63.45,-1,400,1,1,-1,2
FRTIB,FRTIB,2013,21,29,11,119,,,,,,,,
SEC,SEC,2013,22,32.81,-1,786,702,590,56,803,59,93.1,4,344
NSF,NSF,2013,25,35,1,209,,,,,,,,
Ex-Im Bank,Ex-Im Bank,2013,25.5,65.67,1,221,352.5,366.06,44,786,,,,
NTSB,NTSB,2013,26,84.07,6,666,312,285.41,6,696,62,62,62,62
PC,PC,2013,27,38,3,105,150,182,85,518,,,,
CIGIE,CIGIE,2013,28,27,11,44,63,72,54,101,0,0,0,0
CEQ,CEQ,2013,36,56,-1,236,112,106,15,161,65,143,65,204
CFTC,CFTC,2013,39,68.6,1,401,224,256.64,53,838,,,,
ONDCP,ONDCP,2013,42,46,1,124,,,,,,,,
USAID,USAID,2013,51,102.67,-1,646,143.5,256.71,6,1330,34.5,34.5,19,50
NIGC,NIGC,2013,113.5,125,5,424,588,588,588,588,,,,
State,State,2013,122,129,1,1631,424,596,-1,2070,223,496,41,1841
