Agency,Component,Year,Median Number of Days,Average Number of Days,Lowest Number of Days,Hieghest Number of Days,
FMSHRC,FMSHRC,2014,0,0,0,0
USIBWC,USIBWC,2014,0,0,0,0
FCSIC,FCSIC,2014,0,0,0,0
FMC,FMC,2014,0,0,0,0
STB,STB,2014,0,0,0,0
IMLS,IMLS,2014,0,0,0,0
DoD,DoD,2014,0,402,-1,4147
CEQ,CEQ,2014,0,0,0,0
ABMC,ABMC,2014,0,0,0,0
ONHIR,ONHIR,2014,0,0,0,0
NEA,NEA,2014,0,0,0,0
US ADF,US ADF,2014,0,0,0,0
ONDCP,ONDCP,2014,0,0,0,0
AFRH,AFRH,2014,0,0,0,0
RATB,RATB,2014,0,0,0,0
CPPBSD,CPPBSD,2014,0,0,0,0
ACUS,ACUS,2014,0,0,0,0
FOMC,FOMC,2014,0,0,0,0
DNFSB,DNFSB,2014,0,0,0,0
NCPC,NCPC,2014,2,2,2,2
MSPB,MSPB,2014,4,9.44,-1,20
SSS,SSS,2014,5,5,5,5
OSHRC,OSHRC,2014,7,7,7,7
MCC,MCC,2014,8,8,2,14
LSC,LSC,2014,8,11.8,3,21
FRTIB,FRTIB,2014,9.5,9.5,9,10
DOE,DOE,2014,10,13.3,-1,127
FCA,FCA,2014,11,11,11,11
PCLOB,PCLOB,2014,11.5,16.5,10,13
OPIC,OPIC,2014,13,13.25,6,21
NMB,NMB,2014,13.5,13.5,10,17
FLRA,FLRA,2014,14,14.33,8,21
U.S. CPSC,U.S. CPSC,2014,14,14,5,23
SBA,SBA,2014,14.5,16,10,29
OGE,OGE,2014,16,16,16,16
PRC,PRC,2014,17,17,17,17
NEH,NEH,2014,17,17,17,17
Treasury,Treasury,2014,18,24.72,-1,269
EEOC,EEOC,2014,18,18.27,1,87
PBGC,PBGC,2014,18,17.6,12,21
BBG,BBG,2014,18,23,18,56
IAF,IAF,2014,18,18,18,18
SEC,SEC,2014,18.5,29.23,-1,273
OSTP,OSTP,2014,18.5,15,-1,23
FDIC,FDIC,2014,19,18.5,7,39
USNRC,USNRC,2014,19,47,2,231
TVA,TVA,2014,19,18,12,20
USPS,USPS,2014,19,22.74,1,153
FTC,FTC,2014,19,19.38,14,26
NIGC,NIGC,2014,20,20,20,20
GSA,GSA,2014,20,46.39,2,346
CFPB,CFPB,2014,20,25.48,3,104
NSF,NSF,2014,20,48,4,400
NCUA,NCUA,2014,20.5,20.5,20,21
USTDA,USTDA,2014,21,21,21,21
USITC,USITC,2014,22,24,19,30
PC,PC,2014,22,23,3,48
NLRB,NLRB,2014,22,23,3,38
CSOSA,CSOSA,2014,22,11,11,22
SSA,SSA,2014,24,40,3,413
FMCS,FMCS,2014,24,24,24,24
NARA,NARA,2014,24,64.27,7,475
CFTC,CFTC,2014,24,37.67,18,107
FHFA,FHFA,2014,24.5,22.82,8,31
FERC,FERC,2014,25,23,3,31
CNCS,CNCS,2014,26,26,26,26
USCCR,USCCR,2014,26,26,26,26
NASA,NASA,2014,28,30.07,19,43
FFIEC,FFIEC,2014,32,32,32,32
HUD,HUD,2014,33.75,53.76,1,339
EPA,EPA,2014,34,66.81,-1,601
FRB,FRB,2014,35,36,13,77
U.S. DOL,U.S. DOL,2014,41,131.2,0,871
NTSB,NTSB,2014,41,53.26,-1,342
DHS,DHS,2014,41.34,111.54,1,1071
DOJ,DOJ,2014,54,67.88,-1,456
CO,CO,2014,57,57,57,57
OSC,OSC,2014,59,88.17,3,317
ODNI,ODNI,2014,59,193.56,4,841
DOC,DOC,2014,64,128,8,539
OPM,OPM,2014,69,94,17,288
CSB,CSB,2014,69,61,36,77
CIGIE,CIGIE,2014,71,95,19,314
DOT,DOT,2014,80,163,-1,806
USDA,USDA,2014,84,242.02,0,2100
SIGAR,SIGAR,2014,98,98,98,98
NRPC,NRPC,2014,99,122,45,222
US RRB,US RRB,2014,109,109,109,109
CIA,CIA,2014,113.5,281.3,0,3491
USTR,USTR,2014,121,121,121,121
ED,ED,2014,135,301.03,-1,1123
State,State,2014,140,270,-1,1809.95
FEC,FEC,2014,142,108.3,20,163
HHS,HHS,2014,150,314,8,1574
VA,VA,2014,166,210.97,3,840
DOI,DOI,2014,180,201,10,1617
OMB,OMB,2014,183,183,25,290
FCC,FCC,2014,193,176.43,35,324
Ex-Im Bank,Ex-Im Bank,2014,519.5,519.5,143,896
USAID,USAID,2014,764,537,3,1008
