Agency,Component,Year,Simple-Median No. of Days,Simple-Average No. of Days,Simple-Lowest No. of Days,Simple-Highest No. of Days,Complex-Median No. of Days,Complex-Average No. of Days,Complex-Lowest No. of Days,Complex-Highest No. of Days,Expedited Processing-Median No. of Days,Expedited Processing-Average No. of Days,Expedited Processing-Lowest No. of Days,Expedited Processing-Highest No. of Days,
DoD,DoD,2014,,13,-1,1345,,97,-1,4060,,35,-1,630
USTDA,USTDA,2014,,,,,32,45,11,342,,,,
BBG,BBG,2014,,,,,8,35,3,354,,,,
OSTP,OSTP,2014,0,14.4,-1,85,34,71.8,2,162,162,162,162,162
DOI,DOI,2014,1,4,-1,50,17,39,-1,1316,49,165,-1,819
FMSHRC,FMSHRC,2014,1,3.4,1,25,6,9.2,1,36,,,,
OPM,OPM,2014,1,8,1,451,30,32,1,526,11,25,1,434
ONHIR,ONHIR,2014,1,2.39,1,16,,,,,,,,
USDA,USDA,2014,1,16.3,1,1476,21,83.03,1,1055,26,52.09,1,188
ACUS,ACUS,2014,1,1,-1,3,,,,,,,,
CSB,CSB,2014,1,2,1,6,12,16,9,30,1,2,1,9
FMCS,FMCS,2014,2,7.3,-1,59,32,42.9,2,135,,,,
NCUA,NCUA,2014,3,6.75,-1,34,23,35.63,3,128,25,25,20,30
NASA,NASA,2014,3,5.78,-1,48,13,21.9,-1,350,,,,
NTSB,NTSB,2014,3,12.46,-1,322,28,141.54,-1,1343,271,268.89,263,272
NRPC,NRPC,2014,3,7.69,1,62,19.5,42.15,1,465,41.5,41.5,37,46
FDIC,FDIC,2014,4,6.48,-1,42,18.5,18.33,-1,95,12,10.38,1,24
SEC,SEC,2014,4,12.93,-1,754,620,601,23,1220,45,46,43,50
NCPC,NCPC,2014,4,3.71,1,8,9,9,9,9,,,,
FTC,FTC,2014,4,5.2,-1,51,17,27.35,1,524,,,,
FRB,FRB,2014,4,9,1,213,28,43,1,480,290,290,58,523
NMB,NMB,2014,4,6,-1,37,,,,,,,,
STB,STB,2014,5,5.69,1,20,,,,,,,,
VA,VA,2014,5,15.36,-1,822,15,36.23,-1,998,19.5,36,-1,287
USCCR,USCCR,2014,5,5,1,20,6,10,1,20,,,,
NLRB,NLRB,2014,5,7,-1,136,,,,,4,4,-1,9
CPPBSD,CPPBSD,2014,5,5.38,1,9,15,15.33,12,19,0,0,0,0
U.S. DOL,U.S. DOL,2014,6,23.4,1,1426,12,33.6,1,2115,10,26.3,1,550
PBGC,PBGC,2014,6,7.75,-1,38,13,16.75,-1,230,,,,
SSS,SSS,2014,6,4.5,1,12,,,,,,,,
FLRA,FLRA,2014,6,8.4,-1,34,,,,,6.5,7,4,11
OPIC,OPIC,2014,6,14,-1,191,,,,,184,184,184,184
NARA,NARA,2014,6,13.6,-1,3894,603,965,-1,5223,-1,4,-1,29
Treasury,Treasury,2014,7,22.81,-1,771,15,31,-1,2720,21,38.41,-1,322
CNCS,CNCS,2014,7,9.6,-1,53,22,60.8,-1,497,4,4,4,4
IMLS,IMLS,2014,7,7.9,1,20,24.5,33.4,22,56,,,,
CFPB,CFPB,2014,7,9.46,-1,46,20,22.53,5,68,11,11,11,11
ABMC,ABMC,2014,7,22,2,142,,,,,,,,
OSC,OSC,2014,7,43.48,-1,476,309,330.24,39,885,20,120.67,-1,342
