Agency,Component,Year,Median Number of Days,Average Number of Days,Lowest Number of Days,Hieghest Number of Days,
US RRB,US RRB,2015,0,0,0,0
FMSHRC,FMSHRC,2015,0,0,0,0
FCSIC,FCSIC,2015,0,0,0,0
FMC,FMC,2015,0,0,0,0
CNCS,CNCS,2015,0,0,0,0
MCC,MCC,2015,0,0,0,0
PRC,PRC,2015,0,0,0,0
USCCR,USCCR,2015,0,0,0,0
ABMC,ABMC,2015,0,0,0,0
ONHIR,ONHIR,2015,0,0,0,0
NEA,NEA,2015,0,0,0,0
SSS,SSS,2015,0,0,0,0
NCPC,NCPC,2015,0,0,0,0
USTDA,USTDA,2015,0,0,0,0
OSHRC,OSHRC,2015,0,0,0,0
US ADF,US ADF,2015,0,0,0,0
ONDCP,ONDCP,2015,0,0,0,0
FMCS,FMCS,2015,0,0,0,0
IAF,IAF,2015,0,0,0,0
NMB,NMB,2015,0,0,0,0
CSOSA,CSOSA,2015,0,0,0,0
CPPBSD,CPPBSD,2015,0,0,0,0
CIGIE,CIGIE,2015,0,0,0,0
CO,CO,2015,0,0,0,0
CSB,CSB,2015,0,0,0,0
SIGAR,SIGAR,2015,0,0,0,0
ACUS,ACUS,2015,1,1,-1,1
SBA,SBA,2015,1.5,12.33,-1,62
PC,PC,2015,7,8,3,26
LSC,LSC,2015,8,8,8,8
FLRA,FLRA,2015,9.5,12.5,6,25
MSPB,MSPB,2015,10,32.4,-1,133
DHS,DHS,2015,10.96,19.37,1,1603
Treasury,Treasury,2015,12,62.54,0,1826
DOE,DOE,2015,12,20.65,-1,691
SEC,SEC,2015,13,30.84,-1,560
PCLOB,PCLOB,2015,13,10,4,13
NEH,NEH,2015,13,13,13,13
NIGC,NIGC,2015,14,14,13,15
USTR,USTR,2015,14,12,-1,22
EEOC,EEOC,2015,17,17.28,1,169
NTSB,NTSB,2015,17,46.2,13,358
OGE,OGE,2015,17,17.67,17,19
FCA,FCA,2015,17,17,17,17
FDIC,FDIC,2015,18,18.71,8,29
STB,STB,2015,19,19,18,19
FERC,FERC,2015,19,24,12,66
NCUA,NCUA,2015,19,18,14,20
FHFA,FHFA,2015,19,17.14,5,21
FRTIB,FRTIB,2015,19,18.5,9,28
FEC,FEC,2015,19.5,19.25,9,29
PBGC,PBGC,2015,19.5,20.17,10,32
IMLS,IMLS,2015,20,20,20,20
CEQ,CEQ,2015,20,20,20,20
CFPB,CFPB,2015,20,19.38,17,20
USNRC,USNRC,2015,20,26,-1,449
TVA,TVA,2015,20,17,3,20
OPIC,OPIC,2015,20,20,20,20
DOC,DOC,2015,20,88.24,-1,702
SSA,SSA,2015,21,42,1,342
FOMC,FOMC,2015,21,21,21,21
USIBWC,USIBWC,2015,22,22,22,22
HUD,HUD,2015,23,47.18,-1,421
NSF,NSF,2015,23,91,18,286
USITC,USITC,2015,25,25,20,30
DOT,DOT,2015,25,59.196,-1,932
Ex-Im Bank,Ex-Im Bank,2015,25,89.17,16.5,226
NRPC,NRPC,2015,26,89.33,25,217
NASA,NASA,2015,26.25,30.9,18,53
USAB,USAB,2015,27,27,27,27
NLRB,NLRB,2015,29,27,7,61
NARA,NARA,2015,29,46.04,8,205
FTC,FTC,2015,29,30,22,43
BBG,BBG,2015,30,30,30,30
GSA,GSA,2015,30.5,39.95,-1,126
U.S. CPSC,U.S. CPSC,2015,33,33,10,46
OSTP,OSTP,2015,36,32,16,43
AFRH,AFRH,2015,36,36,28,44
DOJ,DOJ,2015,48,61.61,-1,391
DNFSB,DNFSB,2015,50,50,50,50
FRB,FRB,2015,52,51,16,112
FFIEC,FFIEC,2015,53,53,53,53
EPA,EPA,2015,54.5,179.62,-1,2020
USPS,USPS,2015,61,66.68,1,956
CIA,CIA,2015,63,147.74,-1,2071
U.S. DOL,U.S. DOL,2015,66,174.7,0,1145
FCC,FCC,2015,69,139.89,-1,438
CFTC,CFTC,2015,76,252.47,6,889
OPM,OPM,2015,79,84,21,221
USDA,USDA,2015,79,197.63,0,2108
DoD,DoD,2015,99.4474,146.474,15.3333,591.526
State,State,2015,129.99,202.51,2.14,1490.13
VA,VA,2015,142,177.12,-1,650
OMB,OMB,2015,149,127,38,195
USAID,USAID,2015,151,274.1,23,880
DOI,DOI,2015,241,344,1,1525
ED,ED,2015,289,365.02,36,1345
OSC,OSC,2015,320,356,8,1335
HHS,HHS,2015,342.05,385.59,-1,1911
ODNI,ODNI,2015,350,459.57,2,1207
