Agency,Component,Year,Oldest Request Pending Days,2nd Request Pending,3th Request Pending,4th Request Pending,5th Request Pending,6th Request Pending,7th Request Pending,8th Request Pending,9th Request Pending,10th Request Pending,
FCSIC,FCSIC,2015,,,,,,,,,,
FFIEC,FFIEC,2015,,,,,,,,,,
STB,STB,2015,,,,,,,,,,
MCC,MCC,2015,,,,,,,,,,
PRC,PRC,2015,,,,,,,,,,
USCCR,USCCR,2015,,,,,,,,,,
ABMC,ABMC,2015,,,,,,,,,,
USAB,USAB,2015,,,,,,,,,,
ONHIR,ONHIR,2015,,,,,,,,,,
SSS,SSS,2015,,,,,,,,,,
NCPC,NCPC,2015,,,,,,,,,,
PCLOB,PCLOB,2015,,,,,,,,,,
OSHRC,OSHRC,2015,,,,,,,,,,
US ADF,US ADF,2015,,,,,,,,,,
AFRH,AFRH,2015,,,,,,,,,,
FCA,FCA,2015,,,,,,,,,,
IAF,IAF,2015,,,,,,,,,,
ACUS,ACUS,2015,,,,,,,,,,
FMSHRC,FMSHRC,2015,1,,,,,,,,,
USIBWC,USIBWC,2015,1,,,,,,,,,
USITC,USITC,2015,6,2,,,,,,,,
FLRA,FLRA,2015,6,,,,,,,,,
NMB,NMB,2015,6,,,,,,,,,
IMLS,IMLS,2015,9,3,3,,,,,,,
NEH,NEH,2015,17,4,2,2,,,,,,
PBGC,PBGC,2015,18,18,17,17,17,17,15,14,14,14
CFPB,CFPB,2015,21,21,22,17,11,5,14,13,13,9
CNCS,CNCS,2015,23,6,4,4,4,3,1,,,
NCUA,NCUA,2015,29,23,21,16,10,,,,,
LSC,LSC,2015,36,24,23,5,2,2,,,,
ONDCP,ONDCP,2015,39,12,5,,,,,,,
FRTIB,FRTIB,2015,43,28,12,11,,,,,,
CO,CO,2015,43,8,8,2,2,,,,,
DNFSB,DNFSB,2015,46,7,,,,,,,,
FMCS,FMCS,2015,62,42,19,17,,,,,,
TVA,TVA,2015,66,49,39,37,22,22,22,22,22,22
NASA,NASA,2015,77,58,56,54,44,43,43,43,32,29
USNRC,USNRC,2015,83,82,79,49,39,35,34,30,27,21
SIGAR,SIGAR,2015,85,1,1,,,,,,,
CPPBSD,CPPBSD,2015,87,,,,,,,,,
OGE,OGE,2015,98,,,,,,,,,
FDIC,FDIC,2015,112,112,101,86,76,68,57,47,38,24
OSTP,OSTP,2015,149,140,129,106,106,60,52,21,16,9
CIGIE,CIGIE,2015,165,117,114,112,90,24,,,,
FTC,FTC,2015,184,169,61,59,55,51,48,40,30,26
CSOSA,CSOSA,2015,204,176,172,148,144,121,99,96,96,95
EEOC,EEOC,2015,221,141,140,138,135,134,130,128,126,120
GSA,GSA,2015,222,193,141,141,107,107,107,107,75,69
FRB,FRB,2015,235,150,150,140,111,104,95,73,63,56
SBA,SBA,2015,245,89,55,54,48,46,26,20,13,10
NLRB,NLRB,2015,258,246,232,214,198,198,195,177,169,168
CSB,CSB,2015,278,276,275,244,195,168,164,152,150,135
MSPB,MSPB,2015,341,257,230,215,209,187,184,178,172,168
OPIC,OPIC,2015,375,262,191,175,63,,,,,
SSA,SSA,2015,389,370,351,320,310,301,292,290,283,274
FCC,FCC,2015,419,398,390,238,238,224,214,200,183,172
HUD,HUD,2015,457,448,441,426,421,415,412,412,409,401
OPM,OPM,2015,464,462,413,399,360,346,337,323,308,295
Ex-Im Bank,Ex-Im Bank,2015,477,321,313,300,291,278,254,254,254,218
BBG,BBG,2015,481,98,70,37,9,7,5,,,
CFTC,CFTC,2015,490,490,478,460,389,370,363,296,269,218
US RRB,US RRB,2015,531,522,522,500,467,467,445,404,376,252
FERC,FERC,2015,551,527,503,370,274,195,148,127,87,49
OMB,OMB,2015,597,592,552,547,505,488,487,468,465,463
FOMC,FOMC,2015,600,,,,,,,,,
NRPC,NRPC,2015,604,496,494,480,469,364,343,308,291,261
FHFA,FHFA,2015,631,178,177,177,145,139,139,131,60,60
PC,PC,2015,640,622,598,530,518,517,498,494,475,475
NIGC,NIGC,2015,643,445,390,381,225,223,179,118,111,83
USTR,USTR,2015,732,587,512,448,296,130,115,98,82,74
FMC,FMC,2015,888,767,630,615,462,263,238,92,72,38
NEA,NEA,2015,907,,,,,,,,,
NTSB,NTSB,2015,924,879,873,830,818,816,814,813,809,808
DOI,DOI,2015,956,949,935,929,917,914,910,848,832,779
VA,VA,2015,1016,1004,973,929,849,792,769,759,747,737
DOT,DOT,2015,1042,1040,1034,1020,997,995,965,963,961,951
FEC,FEC,2015,1082,738,547,538,538,538,523,520,513,513
NSF,NSF,2015,1082,1069,1069,1069,1066,1064,1055,1053,957,954
OSC,OSC,2015,1169,1104,1088,1072,1035,1035,993,991,968,945
USAID,USAID,2015,1189,1010,1009,971,968,967,915,899,874,874
DOJ,DOJ,2015,1222,1222,1210,1188,1179,1170,1153,1153,1150,1146
SEC,SEC,2015,1266,659,643,640,579,578,575,537,536,501
ED,ED,2015,1282,1182,953,879,878,830,830,824,807,696
U.S. DOL,U.S. DOL,2015,1291,1291,1284,1000,934,910,895,884,550,550
HHS,HHS,2015,1383,1383,1382,1360,1359,1318,1301,1286,1286,1243
USPS,USPS,2015,1409,1098,953,921,857,820,748,658,655,624
CEQ,CEQ,2015,1418,703,675,596,592,573,569,569,567,547
USDA,USDA,2015,1430,1393,1201,1133,1047,993,981,971,970,970
DOC,DOC,2015,1505,1195,1129,1092,1084,1080,1060,1059,1045,1023
U.S. CPSC,U.S. CPSC,2015,1569,1555,1554,1413,1237,1083,1050,1019,1005,988
DHS,DHS,2015,1739,1548,1449,1422,1409,1403,1396,1387,1387,1387
EPA,EPA,2015,1784,1768,1575,1529,1495,1495,1463,1459,1428,1422
USTDA,USTDA,2015,1943,538,414,405,385,373,308,286,254,233
DOE,DOE,2015,1993,1992,1991,1938,1703,1690,1677,1602,1569,1568
