Agency,Component,Year,Request Pending on Start,Request Received in FY,Request Processed in FY,Request Pending for Next,Released in Full ratio,Released in Part ratio,Denied in Full ratio,
FCSIC,FCSIC,2015,0,11,11,0,0.8571,0.1429,0.0000
FFIEC,FFIEC,2015,0,23,23,0,0.5000,0.2500,0.2500
STB,STB,2015,0,65,65,0,0.6591,0.2955,0.0455
PRC,PRC,2015,0,8,8,0,1.0000,0.0000,0.0000
ABMC,ABMC,2015,0,5,5,0,0.0000,0.5000,0.5000
USAB,USAB,2015,0,11,11,0,0.6667,0.1667,0.1667
ONHIR,ONHIR,2015,0,179,179,0,0.8547,0.1453,0.0000
SSS,SSS,2015,0,7,7,0,1.0000,0.0000,0.0000
NCPC,NCPC,2015,0,3,3,0,1.0000,0.0000,0.0000
US ADF,US ADF,2015,0,2,2,0,1.0000,0.0000,0.0000
AFRH,AFRH,2015,0,13,13,0,0.5455,0.4545,0.0000
IAF,IAF,2015,0,3,3,0,1.0000,0.0000,0.0000
NMB,NMB,2015,0,36,35,1,0.8966,0.0345,0.0690
CPPBSD,CPPBSD,2015,0,6,5,1,0.5000,0.5000,0.0000
ACUS,ACUS,2015,0,26,26,0,0.7273,0.2727,0.0000
USITC,USITC,2015,1,31,30,2,0.5500,0.3500,0.1000
FMSHRC,FMSHRC,2015,1,140,140,1,0.9397,0.0603,0.0000
LSC,LSC,2015,1,54,49,6,0.6176,0.2941,0.0882
USCCR,USCCR,2015,1,21,22,0,0.6923,0.3077,0.0000
PCLOB,PCLOB,2015,1,11,12,0,0.8000,0.2000,0.0000
FCA,FCA,2015,1,41,42,0,0.8148,0.1852,0.0000
IMLS,IMLS,2015,2,34,33,3,0.5417,0.3750,0.0833
NCUA,NCUA,2015,2,89,86,5,0.6962,0.2658,0.0380
FLRA,FLRA,2015,2,85,85,2,0.6852,0.2963,0.0185
OSHRC,OSHRC,2015,2,53,55,0,0.5814,0.3953,0.0233
FRTIB,FRTIB,2015,2,14,12,4,0.4000,0.4000,0.2000
SIGAR,SIGAR,2015,2,37,36,3,0.1364,0.7273,0.1364
USIBWC,USIBWC,2015,3,27,28,2,0.6400,0.3600,0.0000
OGE,OGE,2015,3,70,69,4,0.2222,0.5111,0.2667
NEH,NEH,2015,3,62,61,4,0.3200,0.6800,0.0000
CO,CO,2015,3,36,34,5,0.8182,0.1818,0.0000
DNFSB,DNFSB,2015,3,19,20,2,0.4615,0.4615,0.0769
NEA,NEA,2015,4,55,58,1,0.2857,0.7143,0.0000
OSTP,OSTP,2015,5,99,94,10,0.2750,0.7000,0.0250
OPIC,OPIC,2015,5,40,36,9,0.3600,0.6000,0.0400
FMCS,FMCS,2015,6,55,57,4,0.9231,0.0769,0.0000
CIGIE,CIGIE,2015,6,15,15,6,0.5000,0.5000,0.0000
ONDCP,ONDCP,2015,7,43,47,3,0.2857,0.7143,0.0000
CNCS,CNCS,2015,8,47,48,7,0.4595,0.5135,0.0270
FOMC,FOMC,2015,8,34,41,1,0.3750,0.3333,0.2917
US RRB,US RRB,2015,9,123,122,10,0.9469,0.0177,0.0354
CSB,CSB,2015,9,45,30,24,0.3077,0.3462,0.3462
NIGC,NIGC,2015,10,43,34,19,0.4737,0.4737,0.0526
USTDA,USTDA,2015,10,18,6,22,0.7500,0.2500,0.0000
BBG,BBG,2015,10,45,48,7,0.1667,0.8000,0.0333
FHFA,FHFA,2015,14,169,161,22,0.1782,0.6238,0.1980
FDIC,FDIC,2015,16,630,606,40,0.5485,0.3291,0.1224
FMC,FMC,2015,16,35,39,12,0.5000,0.4444,0.0556
