Agency,Component,Year,Simple-Median No. of Days,Simple-Average No. of Days,Simple-Lowest No. of Days,Simple-Highest No. of Days,Complex-Median No. of Days,Complex-Average No. of Days,Complex-Lowest No. of Days,Complex-Highest No. of Days,Expedited Processing-Median No. of Days,Expedited Processing-Average No. of Days,Expedited Processing-Lowest No. of Days,Expedited Processing-Highest No. of Days,
USIBWC,USIBWC,2015,,,,,8,18.08,1,159,,,,
USTDA,USTDA,2015,,,,,37,54,25,116,,,,
BBG,BBG,2015,,,,,92,132,8,473,,,,
CIGIE,CIGIE,2015,,,,,126.5,145.5,25,304,,,,
DOI,DOI,2015,1,10,-1,1004,19,46,-1,1157,17,82,-1,479
FMSHRC,FMSHRC,2015,1,2.5,-1,39,5.5,7,1,22,,,,
OPM,OPM,2015,1,1.9,1,321,25,26,1,468,10,25,1,190
ONHIR,ONHIR,2015,1,2.13,1,14,,,,,,,,
US ADF,US ADF,2015,1,1,1,1,,,,,,,,
ACUS,ACUS,2015,1,1.5,-1,3,13,13,13,13,,,,
USAB,USAB,2015,2,9,1,26,,,,,,,,
PCLOB,PCLOB,2015,2,5.8,2,17,,,,,,,,
NCUA,NCUA,2015,3,5.79,-1,28,25.5,30.44,2,115,2,2,2,2
NCPC,NCPC,2015,3,5,1,9,,,,,,,,
IAF,IAF,2015,3,2.3,1,3,,,,,,,,
NMB,NMB,2015,3,4,-1,11,,,,,,,,
FOMC,FOMC,2015,3.5,5.4,-1,19,186,327.3,33,648,,,,
CNCS,CNCS,2015,4,10,-1,40,60,114,5,505,,,,
VA,VA,2015,4,26.21,-1,793,17,43.3,-1,858,6,29.52,-1,322
IMLS,IMLS,2015,4,4.88,1,13,26,34.4,21,67,,,,
ABMC,ABMC,2015,4,4,4,4,,,,,,,,
FTC,FTC,2015,4,6.02,1,50,18,30.92,1,328,,,,
USCCR,USCCR,2015,5,6,1,13,37,37,14,60,,,,
FRB,FRB,2015,5,10,1,180,31,48,1,388,19,20,6,36
FFIEC,FFIEC,2015,6,7.7,3,14,24,27.7,22,37,,,,
NASA,NASA,2015,6,7.91,-1,30,26,38.57,-1,418,,,,
